Appearances,Blocked shots,Assists,Passes per match,Big chances created,Crosses,Offsides,Hit woodwork,Shots,Shots on target,Shooting accuracy %,Big chances missed,Position_Defender,Position_Forward,Position_Goalkeeper,Position_Midfielder,Assists per Appearance,HighScorer
1,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
16,2.0,0,39.19,0.0,5.0,0.0,0.0,7.0,2.0,29.0,2.0,0,0,0,1,0.0,False
5,0.0,1,50.8,0.0,7.0,0.0,0.0,,,,,1,0,0,0,0.2,False
16,7.0,0,18.13,1.0,8.0,8.0,0.0,25.0,10.0,40.0,1.0,0,1,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,False
18,,0,25.5,0.0,,,0.0,,,,,0,0,1,0,0.0,False
15,,0,24.6,0.0,,,0.0,,,,,0,0,1,0,0.0,False
8,1.0,1,15.88,1.0,2.0,0.0,0.0,,,,,1,0,0,0,0.125,False
38,3.0,4,55.42,1.0,100.0,2.0,0.0,,,,,1,0,0,0,0.10526315789473684,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
32,6.0,4,36.88,7.0,127.0,0.0,0.0,,,,,1,0,0,0,0.125,False
0,,0,0.0,0.0,,,0.0,,,,,0,0,1,0,0.0,False
28,2.0,1,44.21,1.0,6.0,2.0,0.0,,,,,1,0,0,0,0.03571428571428571,False
21,1.0,0,52.86,0.0,0.0,0.0,1.0,,,,,1,0,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,False
15,3.0,1,26.4,1.0,13.0,0.0,0.0,,,,,1,0,0,0,0.06666666666666667,False
1,0.0,0,12.0,0.0,2.0,1.0,0.0,,,,,1,0,0,0,0.0,False
